"","treatment","metric","value","expt","population"
"321","32","fecundity",8,2,NA
"331","32","fecundity",9,2,NA
"341","32","fecundity",11,2,NA
"351","32","fecundity",10,2,NA
"361","32","fecundity",11.4,2,NA
"371","34","fecundity",9,2,NA
"381","34","fecundity",14,2,NA
"391","34","fecundity",8,2,NA
"401","34","fecundity",11.25,2,NA
"411","34","fecundity",8,2,NA
"421","34","fecundity",7.6,2,NA
"431","36","fecundity",12.66666667,2,NA
"441","36","fecundity",3.75,2,NA
"451","36","fecundity",8.8,2,NA
"461","36","fecundity",8.2,2,NA
"471","36","fecundity",14.6,2,NA
"481","36","fecundity",19.6,2,NA
"491","38","fecundity",4.666666667,2,NA
"501","38","fecundity",3.25,2,NA
